year,IPC4,IPCMAG
1750,1.74e-05,0.0
1751,1.7500000000000002e-05,0.0
1752,1.76e-05,0.0
1753,1.77e-05,0.0
1754,1.78e-05,0.0
1755,1.7899999999999998e-05,0.0
1756,1.7999999999999997e-05,0.0
1757,1.8100000000000003e-05,0.0
1758,1.8200000000000002e-05,0.0
1759,1.83e-05,0.0
1760,1.84e-05,0.0
1761,1.85e-05,0.0
1762,1.85e-05,0.0
1763,1.8599999999999998e-05,0.0
1764,1.87e-05,0.0
1765,1.88e-05,0.0
1766,1.89e-05,0.0
1767,1.9e-05,0.0
1768,1.91e-05,0.0
1769,1.92e-05,0.0
1770,1.93e-05,0.0
1771,1.94e-05,0.0
1772,1.95e-05,0.0
1773,1.96e-05,0.0
1774,1.9699999999999998e-05,0.0
1775,1.98e-05,0.0
1776,1.9900000000000003e-05,0.0
1777,2e-05,0.0
1778,2.01e-05,0.0
1779,2.02e-05,0.0
1780,2.03e-05,0.0
1781,2.04e-05,0.0
1782,2.06e-05,0.0
1783,2.07e-05,0.0
1784,2.0799999999999997e-05,0.0
1785,2.09e-05,0.0
1786,2.1000000000000002e-05,0.0
1787,2.11e-05,0.0
1788,2.12e-05,0.0
1789,2.13e-05,0.0
1790,2.14e-05,0.0
1791,2.1499999999999997e-05,0.0
1792,2.16e-05,0.0
1793,2.17e-05,0.0
1794,2.19e-05,0.0
1795,2.2e-05,0.0
1796,2.2100000000000002e-05,0.0
1797,2.22e-05,0.0
1798,2.23e-05,0.0
1799,2.24e-05,0.0
1800,2.2499999999999998e-05,0.0
1801,2.2700000000000003e-05,0.0
1802,2.2800000000000002e-05,0.0
1803,2.29e-05,0.0
1804,2.3e-05,0.0
1805,2.31e-05,0.0
1806,2.3199999999999998e-05,0.0
1807,2.34e-05,0.0
1808,2.35e-05,0.0
1809,2.36e-05,0.0
1810,2.37e-05,0.0
1811,2.39e-05,0.0
1812,2.4e-05,0.0
1813,2.41e-05,0.0
1814,2.42e-05,0.0
1815,2.44e-05,0.0
1816,2.4500000000000003e-05,0.0
1817,2.46e-05,0.0
1818,2.48e-05,0.0
1819,2.49e-05,0.0
1820,2.5e-05,0.0
1821,2.52e-05,0.0
1822,2.53e-05,0.0
1823,2.55e-05,0.0
1824,2.5600000000000002e-05,0.0
1825,2.57e-05,0.0
1826,2.59e-05,0.0
1827,2.6e-05,0.0
1828,2.62e-05,0.0
1829,2.63e-05,0.0
1830,2.64e-05,0.0
1831,2.66e-05,0.0
1832,2.6700000000000002e-05,0.0
1833,2.69e-05,0.0
1834,2.7e-05,0.0
1835,2.7199999999999997e-05,0.0
1836,2.7300000000000003e-05,0.0
1837,2.75e-05,0.0
1838,2.76e-05,0.0
1839,2.7799999999999998e-05,0.0
1840,2.79e-05,0.0
1841,2.81e-05,0.0
1842,2.82e-05,0.0
1843,2.8400000000000003e-05,0.0
1844,2.85e-05,0.0
1845,2.87e-05,0.0
1846,2.88e-05,0.0
1847,2.9e-05,0.0
1848,2.91e-05,0.0
1849,2.93e-05,0.0
1850,2.94e-05,0.0
1851,2.96e-05,0.0
1852,2.98e-05,0.0
1853,2.99e-05,0.0
1854,3.01e-05,0.0
1855,3.03e-05,0.0
1856,3.04e-05,0.0
1857,3.06e-05,0.0
1858,3.08e-05,0.0
1859,3.09e-05,0.0
1860,3.11e-05,0.0
1861,3.12e-05,0.0
1862,3.13e-05,0.0
1863,3.14e-05,0.0
1864,3.15e-05,0.0
1865,3.16e-05,0.0
1866,3.17e-05,0.0
1867,3.18e-05,0.0
1868,3.1899999999999996e-05,0.0
1869,3.2e-05,0.0
1870,3.22e-05,0.0
1871,3.23e-05,0.0
1872,3.24e-05,0.0
1873,3.2500000000000004e-05,0.0
1874,3.26e-05,0.0
1875,3.27e-05,0.0
1876,3.2800000000000004e-05,0.0
1877,3.29e-05,0.0
1878,3.3e-05,0.0
1879,3.32e-05,0.0
1880,3.33e-05,0.0
1881,3.34e-05,0.0
1882,3.35e-05,0.0
1883,3.36e-05,0.0
1884,3.37e-05,0.0
1885,3.3799999999999995e-05,0.0
1886,3.4e-05,0.0
1887,3.4099999999999995e-05,0.0
1888,3.4200000000000005e-05,0.0
1889,3.43e-05,0.0
1890,3.44e-05,0.0
1891,3.4500000000000005e-05,0.0
1892,3.46e-05,0.0
1893,3.48e-05,0.0
1894,3.49e-05,0.0
1895,3.5000000000000004e-05,0.0
1896,3.51e-05,0.0
1897,3.52e-05,0.0
1898,3.54e-05,0.0
1899,3.5499999999999996e-05,0.0
1900,3.56e-05,0.0
1901,3.57e-05,0.0
1902,3.5799999999999996e-05,0.0
1903,3.5999999999999994e-05,0.0
1904,3.61e-05,0.0
1905,3.6200000000000006e-05,0.0
1906,3.63e-05,0.0
