year,IPC4,IPCMAG
1750,1.74e-09,2.92e-09
1751,1.75e-09,2.93e-09
1752,1.7600000000000001e-09,2.95e-09
1753,1.7600000000000001e-09,2.96e-09
1754,1.77e-09,2.98e-09
1755,1.7799999999999999e-09,3e-09
1756,1.79e-09,3.01e-09
1757,1.8e-09,3.0299999999999997e-09
1758,1.81e-09,3.0400000000000003e-09
1759,1.82e-09,3.0599999999999998e-09
1760,1.83e-09,3.07e-09
1761,1.84e-09,3.09e-09
1762,1.85e-09,3.1e-09
1763,1.86e-09,3.1200000000000004e-09
1764,1.87e-09,3.14e-09
1765,1.88e-09,3.15e-09
1766,1.89e-09,3.17e-09
1767,1.9e-09,3.19e-09
1768,1.91e-09,3.1999999999999997e-09
1769,1.92e-09,3.22e-09
1770,1.93e-09,3.23e-09
1771,1.94e-09,3.2499999999999997e-09
1772,1.95e-09,3.27e-09
1773,1.96e-09,3.29e-09
1774,1.97e-09,3.3e-09
1775,1.98e-09,3.32e-09
1776,1.99e-09,3.34e-09
1777,1.9999999999999997e-09,3.3500000000000002e-09
1778,2.01e-09,3.3699999999999997e-09
1779,2.02e-09,3.39e-09
1780,2.0300000000000002e-09,3.4000000000000003e-09
1781,2.04e-09,3.4199999999999998e-09
1782,2.0499999999999997e-09,3.44e-09
1783,2.0600000000000003e-09,3.46e-09
1784,2.07e-09,3.48e-09
1785,2.08e-09,3.49e-09
1786,2.09e-09,3.5099999999999997e-09
1787,2.0999999999999998e-09,3.53e-09
1788,2.11e-09,3.55e-09
1789,2.12e-09,3.5700000000000003e-09
1790,2.13e-09,3.58e-09
1791,2.1399999999999996e-09,3.6e-09
1792,2.16e-09,3.62e-09
1793,2.17e-09,3.64e-09
1794,2.18e-09,3.66e-09
1795,2.19e-09,3.68e-09
1796,2.2000000000000003e-09,3.7e-09
1797,2.21e-09,3.72e-09
1798,2.2199999999999998e-09,3.73e-09
1799,2.23e-09,3.7500000000000005e-09
1800,2.25e-09,3.77e-09
1801,2.26e-09,3.79e-09
1802,2.27e-09,3.81e-09
1803,2.2800000000000004e-09,3.829999999999999e-09
1804,2.29e-09,3.8500000000000006e-09
1805,2.3e-09,3.87e-09
1806,2.32e-09,3.8900000000000004e-09
1807,2.33e-09,3.91e-09
1808,2.34e-09,3.9299999999999995e-09
1809,2.35e-09,3.950000000000001e-09
1810,2.3599999999999997e-09,3.97e-09
1811,2.38e-09,3.99e-09
1812,2.39e-09,4.01e-09
1813,2.4e-09,4.04e-09
1814,2.4200000000000003e-09,4.0600000000000005e-09
1815,2.43e-09,4.08e-09
1816,2.44e-09,4.0999999999999995e-09
1817,2.46e-09,4.1300000000000004e-09
1818,2.47e-09,4.15e-09
1819,2.48e-09,4.17e-09
1820,2.49e-09,4.19e-09
1821,2.5100000000000002e-09,4.21e-09
1822,2.52e-09,4.24e-09
1823,2.54e-09,4.26e-09
1824,2.55e-09,4.279999999999999e-09
1825,2.5600000000000003e-09,4.31e-09
1826,2.5799999999999998e-09,4.33e-09
1827,2.5900000000000004e-09,4.35e-09
1828,2.61e-09,4.38e-09
1829,2.62e-09,4.4000000000000005e-09
1830,2.63e-09,4.42e-09
1831,2.65e-09,4.45e-09
1832,2.66e-09,4.4700000000000005e-09
1833,2.6800000000000003e-09,4.5e-09
1834,2.69e-09,4.52e-09
1835,2.71e-09,4.549999999999999e-09
1836,2.7199999999999997e-09,4.5700000000000006e-09
1837,2.74e-09,4.6e-09
1838,2.75e-09,4.62e-09
1839,2.77e-09,4.65e-09
1840,2.78e-09,4.67e-09
1841,2.8e-09,4.7e-09
1842,2.81e-09,4.7199999999999994e-09
1843,2.83e-09,4.75e-09
1844,2.84e-09,4.77e-09
1845,2.86e-09,4.8e-09
1846,2.8700000000000002e-09,4.83e-09
1847,2.8899999999999997e-09,4.8500000000000004e-09
1848,2.9000000000000003e-09,4.88e-09
1849,2.92e-09,4.9e-09
1850,2.8700000000000002e-09,1.2e-08
1851,2.93e-09,1.2300000000000001e-08
1852,2.9900000000000002e-09,1.2500000000000001e-08
1853,3.0400000000000003e-09,1.2799999999999999e-08
1854,3.1e-09,1.2999999999999999e-08
1855,3.14e-09,1.32e-08
1856,3.19e-09,1.3400000000000001e-08
1857,3.22e-09,1.35e-08
1858,3.2499999999999997e-09,1.3699999999999999e-08
1859,3.27e-09,1.3699999999999999e-08
1860,3.28e-09,1.38e-08
1861,3.29e-09,1.38e-08
