year,IPC4,IPCMAG
1750,5.989999999999999e-06,1.33e-05
1751,6.01e-06,1.33e-05
1752,6.02e-06,1.33e-05
1753,6.040000000000001e-06,1.34e-05
1754,6.05e-06,1.34e-05
1755,6.0600000000000004e-06,1.34e-05
1756,6.08e-06,1.34e-05
1757,6.09e-06,1.35e-05
1758,6.1e-06,1.35e-05
1759,6.12e-06,1.35e-05
1760,6.13e-06,1.3599999999999999e-05
1761,6.14e-06,1.3599999999999999e-05
1762,6.1599999999999995e-06,1.3599999999999999e-05
1763,6.17e-06,1.3599999999999999e-05
1764,6.18e-06,1.3700000000000001e-05
1765,6.2e-06,1.3700000000000001e-05
1766,6.21e-06,1.3700000000000001e-05
1767,6.22e-06,1.38e-05
1768,6.2399999999999995e-06,1.38e-05
1769,6.25e-06,1.38e-05
1770,6.27e-06,1.38e-05
1771,6.28e-06,1.3899999999999999e-05
1772,6.29e-06,1.3899999999999999e-05
1773,6.31e-06,1.3899999999999999e-05
1774,6.3200000000000005e-06,1.4e-05
1775,6.3299999999999995e-06,1.4e-05
1776,6.349999999999999e-06,1.4e-05
1777,6.36e-06,1.4e-05
1778,6.38e-06,1.41e-05
1779,6.39e-06,1.41e-05
1780,6.4000000000000006e-06,1.41e-05
1781,6.42e-06,1.4200000000000001e-05
1782,6.43e-06,1.4200000000000001e-05
1783,6.44e-06,1.4200000000000001e-05
1784,6.46e-06,1.4200000000000001e-05
1785,6.47e-06,1.43e-05
1786,6.49e-06,1.43e-05
1787,6.5e-06,1.43e-05
1788,6.51e-06,1.44e-05
1789,6.53e-06,1.44e-05
1790,6.54e-06,1.44e-05
1791,6.56e-06,1.45e-05
1792,6.570000000000001e-06,1.45e-05
1793,6.58e-06,1.45e-05
1794,6.6e-06,1.45e-05
1795,6.61e-06,1.46e-05
1796,6.629999999999999e-06,1.46e-05
1797,6.64e-06,1.46e-05
1798,6.65e-06,1.47e-05
1799,6.67e-06,1.47e-05
1800,6.68e-06,1.47e-05
1801,6.7e-06,1.48e-05
1802,6.71e-06,1.48e-05
1803,6.72e-06,1.48e-05
1804,6.740000000000001e-06,1.48e-05
1805,6.75e-06,1.49e-05
1806,6.7699999999999996e-06,1.49e-05
1807,6.7799999999999995e-06,1.49e-05
1808,6.799999999999999e-06,1.4999999999999999e-05
1809,6.81e-06,1.4999999999999999e-05
1810,6.82e-06,1.4999999999999999e-05
1811,6.8500000000000005e-06,1.5100000000000001e-05
1812,6.87e-06,1.5100000000000001e-05
1813,6.89e-06,1.52e-05
