year,IPC1,IPC2,IPC4,IPC5
1750,2.61e-07,0.0,5.3400000000000004e-05,1.74e-21
1751,2.6200000000000004e-07,0.0,5.36e-05,1.06e-07
1752,2.6400000000000003e-07,0.0,5.39e-05,2.13e-07
1753,2.65e-07,0.0,5.4199999999999996e-05,3.19e-07
1754,2.66e-07,0.0,5.4499999999999997e-05,4.26e-07
1755,2.68e-07,0.0,5.47e-05,5.32e-07
1756,2.69e-07,0.0,5.5e-05,6.38e-07
1757,2.71e-07,0.0,5.53e-05,7.45e-07
1758,2.72e-07,0.0,5.5599999999999996e-05,8.51e-07
1759,2.74e-07,0.0,5.58e-05,9.57e-07
1760,2.75e-07,0.0,5.6099999999999995e-05,1.06e-06
1761,2.77e-07,0.0,5.64e-05,1.17e-06
1762,2.78e-07,0.0,5.67e-05,1.28e-06
1763,2.7999999999999997e-07,0.0,5.7e-05,1.38e-06
1764,2.81e-07,0.0,5.73e-05,1.49e-06
1765,2.83e-07,0.0,5.76e-05,1.6000000000000001e-06
1766,2.84e-07,0.0,5.79e-05,1.6999999999999998e-06
1767,2.86e-07,0.0,5.82e-05,1.81e-06
1768,2.8699999999999996e-07,0.0,5.8500000000000006e-05,1.91e-06
1769,2.8899999999999995e-07,0.0,5.88e-05,2.02e-06
1770,2.9e-07,0.0,5.91e-05,2.13e-06
1771,2.92e-07,0.0,5.94e-05,2.2300000000000002e-06
1772,2.94e-07,0.0,5.97e-05,2.34e-06
1773,2.9500000000000003e-07,0.0,5.9999999999999995e-05,2.45e-06
1774,2.97e-07,0.0,6.03e-05,2.55e-06
1775,2.98e-07,0.0,6.07e-05,2.66e-06
1776,3e-07,0.0,6.1e-05,2.7699999999999997e-06
1777,3.0200000000000003e-07,0.0,6.13e-05,2.87e-06
1778,3.03e-07,0.0,6.16e-05,2.98e-06
1779,3.05e-07,0.0,6.2e-05,3.0799999999999997e-06
1780,3.06e-07,0.0,6.23e-05,3.19e-06
1781,3.08e-07,0.0,6.26e-05,3.3e-06
1782,3.1e-07,0.0,6.3e-05,3.3999999999999996e-06
1783,3.12e-07,0.0,6.33e-05,3.5100000000000003e-06
1784,3.13e-07,0.0,6.37e-05,3.62e-06
1785,3.15e-07,0.0,6.4e-05,3.7200000000000004e-06
1786,3.17e-07,0.0,6.44e-05,3.83e-06
1787,3.1799999999999996e-07,0.0,6.469999999999999e-05,3.9399999999999995e-06
1788,3.2e-07,0.0,6.510000000000001e-05,4.04e-06
1789,3.22e-07,0.0,6.54e-05,4.15e-06
1790,3.2299999999999997e-07,0.0,6.58e-05,4.26e-06
1791,3.2499999999999996e-07,0.0,6.62e-05,4.36e-06
1792,3.27e-07,0.0,6.66e-05,4.47e-06
1793,3.29e-07,0.0,6.7e-05,4.57e-06
1794,3.3100000000000004e-07,0.0,6.74e-05,4.68e-06
1795,3.3300000000000003e-07,0.0,6.78e-05,4.79e-06
1796,3.35e-07,0.0,6.819999999999999e-05,4.890000000000001e-06
1797,3.36e-07,0.0,6.86e-05,5e-06
