year,IPCMAG
1750,8.409999999999999e-08
1751,8.430000000000001e-08
1752,8.45e-08
1753,8.47e-08
1754,8.49e-08
1755,8.500000000000001e-08
1756,8.52e-08
1757,8.54e-08
1758,8.56e-08
1759,8.58e-08
1760,8.59e-08
1761,8.610000000000001e-08
1762,8.63e-08
1763,8.65e-08
1764,8.67e-08
1765,8.68e-08
1766,8.7e-08
1767,8.72e-08
1768,8.74e-08
1769,8.76e-08
1770,8.77e-08
1771,8.79e-08
1772,8.81e-08
1773,8.83e-08
1774,8.849999999999999e-08
1775,8.870000000000001e-08
1776,8.88e-08
1777,8.899999999999999e-08
1778,8.92e-08
1779,8.94e-08
1780,8.96e-08
1781,8.98e-08
1782,9.000000000000001e-08
1783,9.009999999999999e-08
1784,9.03e-08
1785,9.050000000000001e-08
1786,9.07e-08
1787,9.09e-08
1788,9.11e-08
1789,9.129999999999999e-08
1790,9.14e-08
1791,9.16e-08
1792,9.18e-08
1793,9.2e-08
1794,9.22e-08
1795,9.24e-08
1796,9.26e-08
1797,9.280000000000001e-08
1798,9.3e-08
1799,9.309999999999999e-08
1800,9.330000000000001e-08
1801,9.35e-08
1802,9.37e-08
1803,9.39e-08
1804,9.41e-08
1805,9.43e-08
1806,9.45e-08
1807,9.47e-08
1808,9.490000000000001e-08
1809,9.51e-08
1810,9.53e-08
1811,9.560000000000001e-08
1812,9.6e-08
1813,9.64e-08
1814,9.679999999999999e-08
1815,9.71e-08
1816,9.749999999999999e-08
1817,9.79e-08
1818,9.82e-08
1819,9.86e-08
1820,9.9e-08
1821,9.94e-08
1822,9.98e-08
1823,1.0000000000000001e-07
1824,1.01e-07
1825,1.01e-07
1826,1.02e-07
1827,1.02e-07
1828,1.02e-07
1829,1.03e-07
1830,1.03e-07
1831,1.0399999999999999e-07
1832,1.05e-07
1833,1.06e-07
1834,1.07e-07
1835,1.08e-07
1836,1.08e-07
1837,1.0900000000000001e-07
1838,1.1e-07
1839,1.11e-07
1840,1.12e-07
1841,1.1299999999999999e-07
1842,1.14e-07
1843,1.15e-07
1844,1.16e-07
1845,1.16e-07
1846,1.17e-07
1847,1.18e-07
1848,1.1900000000000001e-07
1849,1.2000000000000002e-07
1850,2.7e-07
1851,2.76e-07
1852,2.81e-07
1853,2.86e-07
1854,2.9100000000000005e-07
1855,2.96e-07
1856,3e-07
1857,3.03e-07
1858,3.06e-07
1859,3.08e-07
1860,3.09e-07
1861,3.1e-07
1862,3.1e-07
1863,3.1e-07
1864,3.1e-07
1865,3.11e-07
1866,3.11e-07
1867,3.11e-07
1868,3.11e-07
1869,3.12e-07
1870,3.12e-07
1871,3.1799999999999996e-07
1872,3.3100000000000004e-07
1873,3.5e-07
1874,3.74e-07
1875,4.0000000000000003e-07
1876,4.26e-07
1877,4.5199999999999997e-07
1878,4.74e-07
1879,4.92e-07
1880,5.019999999999999e-07
1881,5.079999999999999e-07
1882,5.13e-07
1883,5.17e-07
1884,5.21e-07
1885,5.240000000000001e-07
1886,5.27e-07
1887,5.3e-07
1888,5.33e-07
1889,5.37e-07
1890,5.99e-07
1891,5.72e-07
1892,5.48e-07
1893,5.280000000000001e-07
1894,5.11e-07
1895,4.970000000000001e-07
1896,4.86e-07
1897,4.78e-07
1898,4.72e-07
1899,4.6900000000000003e-07
1900,4.68e-07
1901,4.72e-07
1902,4.84e-07
1903,5.019999999999999e-07
1904,5.240000000000001e-07
1905,5.48e-07
1906,5.739999999999999e-07
1907,5.98e-07
1908,6.210000000000001e-07
1909,6.39e-07
1910,6.51e-07
1911,6.59e-07
1912,6.660000000000001e-07
1913,6.72e-07
1914,6.78e-07
1915,6.83e-07
1916,6.88e-07
1917,6.930000000000001e-07
1918,6.98e-07
1919,7.03e-07
1920,7.1e-07
1921,7.179999999999999e-07
1922,7.280000000000001e-07
1923,7.389999999999999e-07
1924,7.51e-07
1925,7.62e-07
1926,7.73e-07
1927,7.82e-07
1928,7.900000000000001e-07
1929,7.95e-07
1930,7.97e-07
1931,7.960000000000001e-07
1932,7.94e-07
1933,7.91e-07
1934,7.88e-07
1935,7.839999999999999e-07
1936,7.81e-07
1937,7.78e-07
1938,7.75e-07
1939,7.73e-07
1940,7.72e-07
1941,7.85e-07
1942,8.18e-07
1943,8.68e-07
1944,9.31e-07
1945,1e-06
1946,1.07e-06
1947,1.1399999999999999e-06
1948,1.2e-06
1949,1.25e-06
1950,1.29e-06
1951,1.31e-06
1952,1.34e-06
1953,1.37e-06
1954,1.4e-06
1955,1.43e-06
1956,1.46e-06
1957,1.49e-06
1958,1.53e-06
1959,1.5599999999999999e-06
1960,1.59e-06
1961,1.6000000000000001e-06
1962,1.6000000000000001e-06
1963,1.6000000000000001e-06
1964,1.6000000000000001e-06
1965,1.6000000000000001e-06
1966,1.6000000000000001e-06
1967,1.6000000000000001e-06
1968,1.6000000000000001e-06
1969,1.6000000000000001e-06
1970,1.6000000000000001e-06
1971,1.6000000000000001e-06
1972,1.6000000000000001e-06
1973,1.6000000000000001e-06
1974,1.6000000000000001e-06
1975,1.6000000000000001e-06
1976,1.6000000000000001e-06
1977,1.6000000000000001e-06
1978,1.6000000000000001e-06
1979,1.6000000000000001e-06
1980,1.8e-06
1981,1.6999999999999998e-06
1982,2.1e-06
1983,1.9e-06
1984,2.3e-06
1985,2.5999999999999997e-06
1986,2.5999999999999997e-06
1987,2.3e-06
1988,2.4e-06
1989,3.2000000000000003e-06
1990,3.2000000000000003e-06
1991,3.6e-06
1992,3.7e-06
1993,3.6e-06
1994,3.6e-06
1995,3.7e-06
1996,3.7e-06
1997,3.7e-06
1998,3.7e-06
1999,3.9e-06
2000,3.9e-06
2001,3.9e-06
2002,4e-06
2003,4e-06
2004,4e-06
2005,4e-06
2006,4e-06
2007,4e-06
2008,4e-06
2009,4.2e-06
2010,4.2e-06
2011,4.2e-06
2012,4.2e-06
2013,4.2e-06
2014,4.2e-06
2015,4.2e-06
2016,4.3e-06
2017,4.3e-06
2018,4.3e-06
2019,4.4e-06
2020,4.4e-06
2021,4.42e-06
2022,4.440000000000001e-06
