year,IPC1,IPC2,IPC5
1750,,0.0,0.0
1751,,0.0,3.3e-10
1752,,0.0,6.61e-10
1753,,0.0,9.91e-10
1754,,0.0,1.32e-09
1755,,0.0,1.65e-09
1756,,0.0,1.98e-09
1757,,0.0,2.31e-09
1758,,0.0,2.64e-09
1759,,0.0,2.97e-09
1760,,0.0,3.3e-09
1761,,0.0,3.64e-09
1762,,0.0,3.97e-09
1763,,0.0,4.3000000000000005e-09
1764,,0.0,4.63e-09
1765,,0.0,4.96e-09
1766,,0.0,5.2900000000000006e-09
1767,,0.0,5.62e-09
1768,,0.0,5.9499999999999995e-09
1769,,0.0,6.28e-09
1770,,0.0,6.61e-09
1771,,0.0,6.94e-09
1772,,0.0,7.27e-09
1773,,0.0,7.6e-09
1774,,0.0,7.93e-09
1775,,0.0,8.260000000000001e-09
1776,,0.0,8.590000000000001e-09
1777,,0.0,8.92e-09
1778,,0.0,9.25e-09
1779,,0.0,9.58e-09
1780,,0.0,9.91e-09
1781,,0.0,1.02e-08
1782,,0.0,1.06e-08
1783,,0.0,1.09e-08
1784,,0.0,1.12e-08
1785,,0.0,1.1600000000000001e-08
1786,,0.0,1.1899999999999999e-08
1787,,0.0,1.22e-08
1788,,0.0,1.26e-08
1789,,0.0,1.29e-08
1790,,0.0,1.32e-08
1791,,0.0,1.3600000000000001e-08
1792,,0.0,1.39e-08
1793,,0.0,1.42e-08
1794,,0.0,1.45e-08
1795,,0.0,1.49e-08
1796,,0.0,1.52e-08
1797,,0.0,1.55e-08
1798,,0.0,1.59e-08
1799,,0.0,1.62e-08
1800,,0.0,1.6500000000000002e-08
1801,,0.0,1.6900000000000002e-08
1802,,0.0,1.7200000000000002e-08
1803,,0.0,1.7499999999999998e-08
1804,,0.0,1.78e-08
1805,,0.0,1.8199999999999998e-08
1806,,0.0,1.85e-08
1807,,0.0,1.88e-08
1808,,0.0,1.92e-08
1809,,0.0,1.95e-08
1810,,0.0,1.98e-08
1811,,0.0,2.02e-08
1812,,0.0,2.05e-08
1813,,0.0,2.08e-08
1814,,0.0,2.12e-08
1815,,0.0,2.15e-08
1816,,0.0,2.18e-08
1817,,0.0,2.21e-08
1818,,0.0,2.2500000000000003e-08
1819,,0.0,2.28e-08
1820,,0.0,2.31e-08
1821,,0.0,2.35e-08
1822,,0.0,2.3799999999999998e-08
1823,,0.0,2.41e-08
1824,,0.0,2.4499999999999998e-08
1825,,0.0,2.48e-08
1826,,0.0,2.51e-08
1827,,0.0,2.54e-08
1828,,0.0,2.58e-08
1829,,0.0,2.6100000000000002e-08
1830,,0.0,2.64e-08
1831,,0.0,2.6800000000000002e-08
1832,,0.0,2.71e-08
1833,,0.0,2.7399999999999997e-08
1834,,0.0,2.78e-08
1835,,0.0,2.81e-08
1836,,0.0,2.84e-08
1837,,0.0,2.88e-08
1838,,0.0,2.91e-08
1839,,0.0,2.94e-08
