year,IPCMAG
1917,2.47e-08
1918,2.4899999999999998e-08
1919,2.51e-08
1920,2.54e-08
1921,2.5599999999999998e-08
1922,2.5999999999999998e-08
1923,2.64e-08
1924,2.6800000000000002e-08
1925,2.7200000000000002e-08
1926,2.76e-08
1927,2.7900000000000002e-08
1928,2.82e-08
1929,2.84e-08
1930,2.84e-08
1931,2.84e-08
1932,2.84e-08
1933,2.83e-08
1934,2.81e-08
1935,2.8e-08
1936,2.7900000000000002e-08
1937,2.78e-08
1938,2.77e-08
1939,2.76e-08
1940,2.76e-08
1941,2.8e-08
1942,2.92e-08
1943,3.1e-08
1944,3.32e-08
1945,3.57e-08
1946,3.8300000000000005e-08
1947,4.07e-08
1948,4.29e-08
1949,4.47e-08
1950,4.59e-08
1951,4.68e-08
1952,4.7800000000000005e-08
1953,4.88e-08
1954,4.9799999999999996e-08
1955,5.1e-08
1956,5.2099999999999997e-08
1957,5.33e-08
1958,5.4500000000000005e-08
1959,5.5699999999999996e-08
1960,5.69e-08
1961,0.0
1962,0.0
1963,0.0
1964,2.0000000000000002e-07
1965,2.0000000000000002e-07
1966,2.0000000000000002e-07
1967,2.0000000000000002e-07
1968,2.0000000000000002e-07
1969,2.0000000000000002e-07
1970,2.0000000000000002e-07
1971,2.0000000000000002e-07
1972,2.0000000000000002e-07
1973,2.0000000000000002e-07
1974,2.0000000000000002e-07
1975,2.0000000000000002e-07
1976,2.0000000000000002e-07
1977,2.0000000000000002e-07
1978,2.0000000000000002e-07
1979,2.0000000000000002e-07
1980,2.0000000000000002e-07
1981,2.0000000000000002e-07
1982,2.0000000000000002e-07
1983,2.0000000000000002e-07
1984,2.0000000000000002e-07
1985,2.0000000000000002e-07
1986,2.0000000000000002e-07
1987,2.0000000000000002e-07
1988,2.0000000000000002e-07
1989,2.0000000000000002e-07
1990,2.0000000000000002e-07
1991,2.0000000000000002e-07
1992,2.0000000000000002e-07
1993,2.0000000000000002e-07
1994,2.0000000000000002e-07
1995,2.0000000000000002e-07
1996,2.0000000000000002e-07
1997,2.0000000000000002e-07
1998,2.0000000000000002e-07
1999,2.0000000000000002e-07
2000,2.0000000000000002e-07
2001,2.0000000000000002e-07
2002,2.0000000000000002e-07
2003,2.0000000000000002e-07
2004,2.0000000000000002e-07
2005,2.0000000000000002e-07
2006,2.0000000000000002e-07
2007,2.0000000000000002e-07
2008,2.0000000000000002e-07
2009,2.0000000000000002e-07
2010,2.0000000000000002e-07
2011,2.0000000000000002e-07
2012,2.0000000000000002e-07
2013,2.0000000000000002e-07
2014,2.0000000000000002e-07
2015,2.0000000000000002e-07
2016,2.0000000000000002e-07
2017,2.0000000000000002e-07
2018,2.0000000000000002e-07
2019,2.0000000000000002e-07
